id,brewery_id,name
758,526,Poseidon Imperial Stout
759,526,Thornton Creel Ale
760,526,Blonde Ale
761,526,Light
762,526,WinterFish Ale
763,526,Mudshark Porter
764,526,Organic India Pale Ale
765,526,Wild Salmon Pale Ale
766,526,Organic Amber Ale
767,526,Blind Pig Dunkelweizen
768,526,Whistling Pig Hefeweizen
769,1030,Snow Cap
770,1030,DPA
771,1030,Krystal Weizen
772,1030,Thunder Head IPA
773,1030,Amber Weizen
774,1030,Hefeweizen
775,1030,Curve Ball
776,704,Bourbon Barrel Stout
777,704,Oak Stout
778,704,Two Frog Dubbel
779,704,Farm Frog
780,704,Frosty Frog
781,494,Dry Hopped IPA
782,494,No Doubt Stout
783,494,Riot Ale
784,494,IPA
785,494,Alembic Pale
786,494,Luna Weizen
787,966,Castaway Barley Wine Winter Ale
788,966,Blacktop Porter
789,966,Puget Porter
790,966,Rat City IPA
791,966,Fauntleroy Stout
792,966,Alki Ale
793,966,Vashon Old Stock Ale
794,966,Admiral ESB
795,966,Driftwood Ale
796,770,Kataja Olut IVB
797,1185,Cream Stout
798,526,Leviathan 2004
799,160,MoJo India Pale Ale
800,526,Old Woody 2005
801,103,Weisse
802,431,Urthel Hop-It
803,641,Super Natural Oatmeal Stout
804,432,Flemish Primitive Wild Ale (Pig Nun)
805,432,Andelot Cuvee Diabolique
806,432,Lozen Boer Abt
807,641,Imperial Gold Malt Liquor
808,1177,Double Daddy
809,1072,Old Crustacean Barleywine 2005
810,622,Fred
811,21,Wee Heavy
812,709,Porter
813,540,Horn Dog
814,137,Nut Brown Ale
815,137,Chaser Pale
816,270,Trappist Extra
817,174,Brune
818,459,Olde School Barleywine
819,1115,Urbock 23Â°
820,447,Double Diamond Winter
821,1204,Stone IPA
822,188,Scaldis Prestige
823,432,Flemish Primitive Wild Ale (Surly Bird)
824,623,Red Menace Big Amber
825,174,Blonde
826,297,St. Sebastiaan Golden
827,221,Pils
828,221,Hefe-Weizen
829,368,Xingu
830,562,Slip Knot Imperial IPA 2006
831,447,Bottleworks IPA
832,919,Old Rasputin Russian Imperial Stout
833,604,Yeti Imperial Stout
834,745,Hefe-Weizen Dunkel
835,745,Winter-Traum
836,301,Poperings Hommel Ale
837,907,Smoked Rye Bock
838,1263,Russian Imperial Stout
839,190,Jenlain St Druon de Sebourg
840,196,Les Sans Culottes
841,202,Bruocsella 1900 Grand Cru
842,188,Scaldis / Bush Amber 12%
843,590,Princess of Darkness Porter
844,590,Impromptu Pale Ale
845,590,Steinworthy Oktoberfest
846,590,DSB / Dusters Special Bitter
847,590,Bugeater Brown Ale
848,590,Tin Lizzie Hefeweizen
849,590,All-American Lager (discontinued)
850,590,Heavenly Helles
851,169,Orval Trappist Ale
852,270,Trappist Bruin Bier / BiÃ¨re Brune
853,7,Rochefort 8
854,271,Satan Red
855,671,Entire Stout
856,1056,Ivanhoe
857,277,XX Bitter
858,359,Moza
859,370,Negra
860,1003,Stout
861,717,Porter
862,717,Oktoberfest
863,717,Tip Top Pale Ale
864,1303,DoppelSticke
865,1303,Sticke
866,1303,Alt
867,742,Hitachino Nest Japanese Classic Ale
868,1204,9th Anniversary IPA
869,622,Adam
870,622,Rose
871,303,Kasteel Bier Donker-Foncee
872,431,Urthel Samaranth Quadrium Ale
873,432,Andelot Mystique
874,432,Andelot Angelique
875,432,Andelot Euphorique
876,1307,Terrible
877,269,Deus Brut des Flandres
878,28,Kentucky Ale
879,935,5 Barrel Pale Ale
880,1143,Spruce Ale
881,174,Triple ImpÃ©riale
882,189,Avec Les Bons Voeux
883,175,Blonde
884,1143,Oatmeal Cream Stout
885,903,Augustinian Ale
886,1378,Butty Bach
887,623,Pale Ale
888,109,De Horste Vermeer Traditional Dutch Ale
889,195,Troublette
890,194,Blonde Tradition
891,128,NoÃ«l
892,182,Yeti
893,175,Brune / Brown
894,586,Pere Jacques
895,1331,1784 Anniversary Beer
896,1331,Baltas Alus
897,623,El Jefe Weizen Ale
898,89,Hefeweizen
899,89,Dancing Trout Ale
900,1177,Untouchable Pale Ale
901,21,X Extra Pale Ale
902,584,Chehalem Mountain IPA
903,892,Moylander Double IPA
904,803,Indica India Pale Ale
905,305,Vichtenaar
906,261,Zatte Amsterdamse Tripel
907,919,Old Stock Ale 2004
908,604,Old Ruffian
909,849,Talon
910,661,Will-BrÃ¤u Ur-Bock
911,745,Asam-Bock
912,745,Barock-Dunkel
913,745,Hefe-Weizen Hell
914,659,Neuschwansteiner Bavarian Lager
915,1143,Wooly Bully
916,623,Mongoose IPA
917,1177,Big Daddy IPA
918,604,Titan IPA
919,1185,St Peter's Organic Ale
920,1185,Old-Style Porter
921,1307,Ã‰dition 2005
922,1204,Vertical Epic 05.05.05
923,21,Speedway Stout
924,447,Cream Stout
925,447,Grand Cru
926,199,AmbrÃ©e / Chestnut Beer
927,441,Quail Springs IPA
928,447,IPA
929,26,Cambonator Doppelbock
930,447,Best Bitter
931,156,Porter Czarny Boss / Black BOSS Porter
932,604,Oak Aged Yeti Imperial Stout
933,1205,Riverboat Rye
934,1205,Masterpiece Porter
935,1205,Stout
936,1103,Pioneer Black River Red
937,207,Pilsner
938,1315,Double IPA
939,1315,Dundee Export 90 Scotch Ale
940,1315,Blackstone Stout
941,691,Red Ale
942,823,Schuylkill Punch
943,823,Nokdechiloff
944,823,California Dreaming
945,823,Manayunk Lager
946,823,Brilliant Barstool
947,823,Krooks Mill
948,823,Summer Gold
949,823,Bohemian Blonde
950,503,Trompe La Mort
951,916,3C Extreme
952,916,Bill Payer Ale / BPA
953,916,Ich Bin Ein Berliner Weisse
954,916,Wee Heavier
955,916,Tart
956,916,Spring Ale
957,449,PÃ©chÃ© Mortel
958,290,Oude Gueuze Vielle
959,202,Lambic 2002
960,283,Gueuze 1882
961,691,Oatmeal Stout
962,691,Belgian Singel
963,691,IPA
964,691,Kolsch
965,1321,Dunkelweizen
966,1321,Regiment Pale Ale
967,1321,Red Coat Ale
968,1158,Instigator Doppelbock
969,1158,Piketown Pils
970,1158,Seamus Irish Red
971,1158,Helles Bock
972,1158,Burns Scottish Ale
973,1158,Anniversary IPA Ahtanum
974,1158,Anniversary IPA Glacier
975,1158,Route 113 IPA
976,1158,Featherweight Lager
